cluster,tx_count,account_age_days,active_days,failed_tx_ratio,unique_peers,total_volume_eth_out,in_volume_eth,median_tx_interval_sec,tx_interval_std_sec,same_block_tx_count,counterparty_concentration_top3,contract_call_ratio,selector_entropy,active_hour_entropy,median_priority_fee_gwei,selector_share_top1,selector_share_top2,selector_share_top4,selector_share_top5,selector_share_top6,selector_share_top7,selector_share_top9,selector_share_top10,selector_share_top12,selector_share_top14,selector_share_top16,selector_share_top17,selector_share_top18,selector_share_top19,distinct_tokens,token_churn_rate
0,-0.060034484,-0.9587615,-0.35036835,-0.196086,0.32995027,0.8475071,-0.3680981,-0.032299373,-0.36375278,-0.4673204,-0.11368999,0.0060385265,0.734474,0.39212993,-0.65495723,-0.5434382,0.0025814564,-0.19140282,-0.066591665,-0.17677528,1.8138914,-0.16729455,3.6808882,2.6682765,-0.10153275,-0.062334456,0.12923159,-0.09584572,-0.12739031,0.037774634,-0.49033645
1,0.24284238,-0.9505279,-0.3266835,-0.1867596,0.4201382,0.47527206,-0.3089017,-0.15483785,-0.4918938,1.1396761,-0.10914607,0.11096203,0.7065416,0.5073185,-0.65969247,-0.59125316,0.15800166,-0.19018704,-0.066591665,-0.17605451,3.1514318,-0.166788,2.616938,2.0180986,-0.10153276,-0.06233446,-0.0810922,-0.095695026,-0.12717037,0.23465307,0.17344397
2,-0.016481178,0.29112855,-0.06996627,0.55099463,0.47594738,-0.014238192,-0.23447983,-0.708153,0.12138254,1.1666638,-0.4173673,0.74663055,0.6529055,-0.34155145,-0.27024284,-0.3894687,1.4226903,-0.0071651596,-0.06531196,0.8464691,-0.15788706,-0.14989048,-0.19017763,-0.16911522,-0.09152991,-0.06169821,-0.08051362,4.4073505,-0.122097194,0.39932656,-0.17815937
3,-0.13761787,-0.6843335,-0.31176004,-0.19135778,-0.24375209,-0.47298768,-0.3417395,-0.7090193,-0.40021724,1.8093982,0.35823327,-0.65845734,-0.37601814,-0.5750869,-0.6362223,0.19412424,-0.5820202,-0.19144893,-0.06648522,-0.17620586,-0.15839857,-0.16652599,-0.19017763,-0.16868904,-0.10105827,-0.062098093,-0.08246924,-0.09529415,-0.12736869,-0.5845976,0.3195589
4,-0.026823845,0.41786897,0.050808143,0.6560102,0.71090025,-0.4276615,-0.33003697,-0.048332114,0.26610976,0.080438875,-0.82602763,0.44788006,0.9911311,-0.10033937,-0.15828809,-0.58795667,-0.20769043,-0.12221008,1.7792724,-0.1482349,-0.15529872,-0.1318995,-0.18962698,-0.16882215,0.0315044,2.587337,-0.08146578,-0.09402236,-0.060292482,-0.011933756,-0.6728917
5,-0.23104417,-0.83320326,-0.4290361,-0.24228895,-0.80386996,-0.47350714,-0.34707153,-0.16695508,-0.69341123,-0.4364504,0.4722221,-1.5071118,-1.031753,-0.13870475,-0.6691619,-0.7367204,-0.58670896,-0.19159804,-0.066479005,-0.176755,-0.1583042,-0.1672251,-0.18984608,-0.16792582,-0.101469085,-0.062322352,-0.08243081,-0.09583968,-0.12742373,-1.1460652,0.42063648
6,-0.06864513,-0.008691633,-0.16088969,0.35197535,0.5274441,-0.13600501,-0.21065561,-0.7425191,0.07021899,1.6459764,-0.46285942,0.8174883,0.75140905,-0.37440738,-0.54033726,-0.5874134,1.3390329,-0.15205589,-0.065516725,3.8698013,-0.15757397,-0.14856589,-0.1891293,-0.16875441,-0.09785385,-0.062269736,-0.07488916,-0.08396236,-0.118040636,0.27387777,-0.58277065
7,-0.29481104,0.17662866,-0.18442358,0.08822366,0.4912772,-0.10179716,-0.16806202,-0.32245257,0.32496458,-0.4497788,-0.6581223,0.6438577,0.89752215,-0.3154555,0.6524559,-0.34381014,1.0866323,-0.12763476,-0.066308856,2.7506187,-0.15770613,-0.16020125,-0.18953204,-0.16861266,-0.10025976,-0.062334456,-0.080071665,-0.09236769,-0.10447071,0.29728922,-0.42877305
8,0.15134414,0.14640735,0.26293465,-0.22682792,0.36863458,1.588817,1.8782372,0.6540638,0.33367988,-0.35774228,-0.36202466,-1.1185597,-0.7200768,0.36824575,0.9540527,-0.44813,-0.5440915,-0.18124677,-0.065470904,-0.16725451,-0.1582629,-0.1585037,-0.18991512,-0.16900988,-0.10106247,-0.061795764,-0.0822369,-0.09186237,-0.12320773,0.6102037,0.649047
9,-0.10488281,0.36108902,0.2593254,-0.22751406,-0.7362536,-0.46764922,-0.3355604,1.0355015,0.529313,-0.46695542,0.69514376,0.8926641,-0.7782628,0.30979446,0.8585075,1.8823841,-0.540291,-0.18825696,-0.06648443,-0.17113362,-0.15839857,-0.16534331,-0.19017763,-0.16911522,-0.10147552,-0.06233446,-0.08239753,-0.094522305,-0.1257908,0.8452232,0.70690054
10,-0.48469862,0.07103981,-0.038457777,-0.24519268,-1.2768381,-0.51519936,-0.37844092,1.1319252,0.47489017,-0.4746611,0.8369343,1.0408586,-1.0500202,0.18396908,-0.5433681,2.1014178,-0.5855496,-0.19171554,-0.066591665,-0.17677528,-0.15839857,-0.16729455,-0.19017762,-0.16911523,-0.10153276,-0.062334456,-0.082503036,-0.095845714,-0.12749964,-0.4950501,-0.0027274524
11,-0.25037792,0.24511895,-0.19824475,0.015759025,0.52770334,-0.15094376,-0.19987382,-0.5687184,0.065949075,-0.35708874,-0.68033123,0.6768724,0.9567846,-0.49344566,0.20658648,-0.46380997,0.91847056,0.9234209,-0.06343407,-0.15729669,-0.15670201,-0.14368246,-0.18907073,-0.16813505,-0.09433715,-0.06108105,-0.0798801,-0.089468375,-0.114644445,0.31636503,0.023485187
12,-0.07895936,0.81763864,-0.03972196,0.5846179,0.88842845,-0.24574393,-0.23030066,-0.44819185,0.48261958,-0.08714215,-1.1587352,0.7301285,1.7135047,-0.20649305,0.19480634,-0.5842278,0.061629936,-0.09395959,-0.050274305,-0.13031805,-0.15818009,-0.10529869,-0.18961471,-0.16906606,3.8136134,-0.05390918,-0.082183376,-0.091433726,-0.09786348,0.16978231,-0.30354777
13,0.48343897,-1.0258486,-0.50179636,-0.24689399,-1.2771456,-0.51362425,-0.38514805,-0.31092355,-1.1937032,-0.4749611,0.8369343,-1.5156636,-1.0514649,0.7850953,-0.72187686,-0.7395757,-0.5877938,-0.19171554,-0.066591665,-0.17677528,-0.15839857,-0.16729455,-0.19017763,-0.16911522,-0.10153275,-0.06233445,-0.082503036,-0.09584572,-0.12749964,-1.1571318,-1.7912563
14,-0.022020426,-0.27418703,-0.015107044,-0.24461086,-0.63151115,-0.111957066,0.011331861,0.47553927,0.17850879,-0.47063658,0.49573085,-1.5114717,-1.0382408,0.31207767,-0.6921987,-0.7380854,-0.58750224,-0.19171554,-0.06423674,-0.17664282,-0.15839857,-0.16729455,-0.1901116,-0.16900502,-0.101482056,-0.06233445,-0.082503036,-0.09584572,-0.12749964,-1.1431063,-1.7848994
15,0.30817792,0.25442824,-0.14506185,-0.24443458,-0.5369862,-0.39936823,-0.29450575,0.10118921,0.08092016,-0.47460222,0.77497077,-1.2595297,-0.66237956,0.5981577,-0.7035471,-0.4971893,-0.49540046,-0.19107723,-0.066591665,-0.17610037,-0.15839857,-0.16719486,-0.19017763,-0.16911522,-0.10153275,-0.062334456,-0.082503036,-0.095514745,-0.12749964,-0.46218345,-0.70886153
16,-0.13662495,0.06474819,0.17421052,-0.2429436,-0.6256106,-0.45481324,-0.32147303,0.59430856,0.37302682,-0.47425124,0.8128002,-0.1674914,-0.17697786,0.5256891,-0.7031938,0.7369145,-0.5437034,-0.19171554,-0.066591665,-0.17677528,-0.15839857,-0.16729455,-0.19017763,-0.16911522,-0.10153275,-0.062334456,-0.082503036,-0.09584572,-0.12749964,-0.34648305,-0.11723912
17,-0.5784816,-0.2657312,-0.18280993,-0.24564524,-0.68586135,-0.507764,-0.37724766,0.7100768,0.15090923,-0.47453254,0.8133882,0.7889315,-0.69009846,-0.3042373,-0.6606309,1.8049517,-0.58189034,-0.19135505,-0.06589832,-0.1764933,-0.15839857,-0.16729455,-0.19007257,-0.16907929,-0.1013871,-0.06233445,-0.082503036,-0.09584572,-0.12731779,-0.36132327,0.6328924
18,-0.06829501,0.48880684,-0.14382423,0.24940434,0.7784881,0.003013926,-0.10727695,-0.67208767,0.195416,0.06007562,-1.0527565,0.74271154,1.1585097,-0.36507836,-0.027885882,-0.28036392,1.2690896,0.023006732,-0.064197406,0.30021217,-0.15789467,-0.12059313,-0.18935284,-0.1683109,-0.092904046,-0.05809388,-0.080645435,-0.08795803,3.6503415,0.6405464,0.025194487
19,-0.3377287,0.17300944,-0.237078,-0.1834166,0.3300652,-0.09222998,-0.15806949,-0.62099427,0.10454943,1.4385644,-0.3793086,0.63625026,0.723078,-0.5388705,1.3893481,-0.3093228,1.0035658,-0.10620985,-0.062384408,-0.16611695,-0.15747781,3.599216,-0.18939686,-0.16854012,-0.09684148,-0.06196008,-0.08067113,-0.091053836,-0.12188443,0.30568027,0.2490547
20,0.33126923,0.4705594,0.24553174,0.07410583,0.99651057,-0.14703342,-0.17474805,-0.7389977,0.362454,1.3251369,-0.99345714,0.69559866,1.2939433,-0.10770127,-0.08602835,-0.4761022,1.2219132,-0.1260929,-0.059576686,-0.13393341,-0.15659943,-0.13639879,-0.18926655,-0.1681874,-0.047996033,-0.0482584,-0.08147908,-0.08776333,-0.068992466,0.6479982,0.019002642
